"","taxon","lfc_(Intercept)","lfc_Lauren_classificationIntestinal type","se_(Intercept)","se_Lauren_classificationIntestinal type","W_(Intercept)","W_Lauren_classificationIntestinal type","p_(Intercept)","p_Lauren_classificationIntestinal type","q_(Intercept)","q_Lauren_classificationIntestinal type","diff_(Intercept)","diff_Lauren_classificationIntestinal type","passed_ss_(Intercept)","passed_ss_Lauren_classificationIntestinal type"
"51","PWY-5188",0.328052130498981,-0.961916778391441,0.211230982794063,0.253143799871543,1.55304930252022,-3.79988282896742,0.127741324051372,0.000450739610457545,0.387111158858569,0.00437737506309731,FALSE,TRUE,TRUE,TRUE
"52","PWY-7791",0.299738044863701,-0.876974521485601,0.18401974025239,0.230589342349279,1.62883636534102,-3.80318757385251,0.110653223043132,0.000446270691877651,0.387111158858569,0.00437737506309731,FALSE,TRUE,FALSE,TRUE
"53","PWY-6385",0.286293002722722,-0.836639395062666,0.169624473778691,0.220630434448503,1.68780480991351,-3.79203982965435,0.0986902819669823,0.000461519126283779,0.387111158858569,0.00439749356176054,FALSE,TRUE,FALSE,TRUE
"54","PEPTIDOGLYCANSYN-PWY",0.287031150099581,-0.838853837193242,0.173141695007035,0.224849619101915,1.65778179593262,-3.73073274726352,0.104640476823453,0.000554790529888933,0.387111158858569,0.00500302174274841,FALSE,TRUE,FALSE,TRUE
"55","PWY-6387",0.28708680945958,-0.839020815273239,0.172772402700243,0.224639332448654,1.66164737523313,-3.73496843196422,0.103858199679976,0.000547801110713604,0.387111158858569,0.00500302174274841,FALSE,TRUE,FALSE,TRUE
"56","PWY0-1586",0.253569340416099,-0.738468408142798,0.138451177950218,0.197749733578432,1.83147116673339,-3.73435854895808,0.0739638478892206,0.000548802239321318,0.387111158858569,0.00500302174274841,FALSE,TRUE,FALSE,TRUE
"57","PWY-7992",0.505040082341269,-1.49288063391831,0.327380457624033,0.402357699742787,1.54267021925072,-3.71033196300867,0.130238927647363,0.000589675735940322,0.387111158858569,0.00522432011666426,FALSE,TRUE,TRUE,TRUE
"58","PWY-5189",0.314487878016222,-0.921224020943166,0.207299855378844,0.249769211833644,1.5170675225098,-3.68830094862428,0.136567772168393,0.00062971952294819,0.390260256979132,0.00548290274291097,FALSE,TRUE,TRUE,TRUE
"59","PWY-2942",0.276450452151305,-0.807111743348414,0.17178186406956,0.220186952725833,1.60931105066692,-3.66557479158809,0.114866509621692,0.000673764296064214,0.387111158858569,0.00561031334391808,FALSE,TRUE,TRUE,TRUE
"60","PWY4FS-7",0.287186816896487,-0.83932083758396,0.178968442682371,0.22909582852464,1.60467852651642,-3.66362339720075,0.115885088683881,0.000677681413819807,0.387111158858569,0.00561031334391808,FALSE,TRUE,TRUE,TRUE
"61","PWY4FS-8",0.287186816896487,-0.83932083758396,0.178968442682371,0.22909582852464,1.60467852651642,-3.66362339720074,0.115885088683881,0.000677681413819807,0.387111158858569,0.00561031334391808,FALSE,TRUE,TRUE,TRUE
"62","PWY-7220",0.293223163254645,-0.857429876658433,0.185254574031412,0.235079945344741,1.58281200228247,-3.64739695426178,0.120792614366121,0.000711112684556479,0.387111158858569,0.00561112352657847,FALSE,TRUE,TRUE,TRUE
"63","PWY-7222",0.293223163254645,-0.857429876658433,0.185254574031412,0.235079945344741,1.58281200228247,-3.64739695426178,0.120792614366121,0.000711112684556479,0.387111158858569,0.00561112352657847,FALSE,TRUE,TRUE,TRUE
"64","REDCITCYC",0.414696234266468,-1.2218490896939,0.27573428857443,0.334672034180857,1.50397049424097,-3.65088494078838,0.139899005059902,0.000703795242825722,0.390260256979132,0.00561112352657847,FALSE,TRUE,TRUE,TRUE
"65","UDPNAGSYN-PWY",0.28447684178029,-0.831190912235371,0.179686857692423,0.228366166691888,1.58318112650866,-3.63972879291184,0.120708395592738,0.000727457734479868,0.387111158858569,0.00565178701403589,FALSE,TRUE,TRUE,TRUE
"66","PWY-7221",0.276207074064288,-0.806381609087359,0.170837583397015,0.222306540470886,1.61678167398565,-3.62734091124487,0.113239271004597,0.000754628565205558,0.387111158858569,0.00577405190043647,FALSE,TRUE,TRUE,TRUE
"67","PHOSLIPSYN-PWY",0.285910411533024,-0.835491621493568,0.179475582879105,0.231178805127349,1.5930323609848,-3.61404939796848,0.118478277589051,0.000784865013709566,0.387111158858569,0.00588580686826613,FALSE,TRUE,TRUE,TRUE
"68","PWY-5097",0.282542182307666,-0.825386933817498,0.181285986013274,0.228591419060511,1.55854398081812,-3.61075204489197,0.126434787165289,0.000792544291172469,0.387111158858569,0.00588580686826613,FALSE,TRUE,TRUE,TRUE
"69","PWY-6125",0.281782339910607,-0.823107406626319,0.18091988476162,0.228741905620459,1.55749789627537,-3.5984110755467,0.126682694069976,0.000821930797348288,0.387111158858569,0.00592964360944122,FALSE,TRUE,TRUE,TRUE
"70","PWY-724",0.282562021833729,-0.825446452395684,0.182095882067351,0.229261147944034,1.55172109674188,-3.60046374973742,0.128058773657608,0.000816971456223844,0.387111158858569,0.00592964360944122,FALSE,TRUE,TRUE,TRUE
"71","PWY-5659",0.281970558834023,-0.823672063396567,0.176414035112979,0.229332602429245,1.5983453847844,-3.59160474643239,0.117289469407856,0.000838582768775525,0.387111158858569,0.00593032204784046,FALSE,TRUE,TRUE,TRUE
"72","PWY-7228",0.27870036472894,-0.81386148108132,0.179463719823168,0.226777474731437,1.55296215303881,-3.58881093479475,0.127762133891879,0.000845511262266363,0.387111158858569,0.00593032204784046,FALSE,TRUE,TRUE,TRUE
"73","PWY-6350",-0.461648160021888,-1.34732023836035,0.0946148082176177,0.193668081488561,-4.87923791971421,-6.95685230113632,0.00455602442914997,0.000943194138881975,0.0535067985283892,0.00652483616623832,FALSE,TRUE,TRUE,TRUE
"74","PWY-6823",0.313414513767758,-0.918003928197772,0.215075543812443,0.259349885317014,1.45722990262934,-3.53963498798411,0.152317563000362,0.000976838746464563,0.391783469037092,0.00657738089286139,FALSE,TRUE,TRUE,TRUE
"75","PWY6666-2",0.35423655955599,-1.24092318744992,0.161262681899605,0.347644924967317,2.19664311285932,-3.56951331179818,0.034055725810286,0.000967850894711258,0.242227345552034,0.00657738089286139,FALSE,TRUE,TRUE,TRUE
"76","GLUCOSE1PMETAB-PWY",0.260428367271162,-0.759045488707987,0.16990223076368,0.215651501536579,1.53281311316858,-3.51977836138199,0.132647096072295,0.00103522684254337,0.389458043700633,0.00684717160145536,FALSE,TRUE,TRUE,TRUE
"77","PWY-7371",0.581416375900142,-1.72200951459492,0.391741528236696,0.489641254972932,1.48418366190894,-3.51687995467235,0.145054171734526,0.00104402418477636,0.391013544792506,0.00684717160145536,FALSE,TRUE,TRUE,TRUE
"78","DAPLYSINESYN-PWY",0.271101865832405,-0.791065984391713,0.17809477954017,0.225397132433691,1.52223364734426,-3.50965416396518,0.13527131814431,0.00106626888159173,0.390260256979132,0.00690340750261311,FALSE,TRUE,TRUE,TRUE
"79","PWY-6349",-0.469940076139152,-1.2892768255395,0.0908977082480079,0.191874877739477,-5.16998816798498,-6.71936232991405,0.00355491643529435,0.00110600385388015,0.0472429684164117,0.007070024635563,TRUE,TRUE,FALSE,TRUE
"80","PWY-5667",0.263947318506959,-0.769602342415376,0.166078240456499,0.223351999640075,1.58929500807238,-3.44569264504265,0.119320369337097,0.00128396279745251,0.387111158858569,0.00800495324337674,FALSE,TRUE,TRUE,TRUE
"81","PWY0-1319",0.263947318506959,-0.769602342415376,0.166078240456499,0.223351999640075,1.58929500807238,-3.44569264504265,0.119320369337097,0.00128396279745251,0.387111158858569,0.00800495324337674,FALSE,TRUE,TRUE,TRUE
"82","PWY-7374",0.560606604350802,-1.65958019994691,0.385533293916154,0.483715467737522,1.45410685198234,-3.43090165735086,0.153177365278842,0.00134003650141812,0.391783469037092,0.00825266381970915,FALSE,TRUE,TRUE,TRUE
"83","PWY-7663",0.247398545368699,-0.719956023000596,0.158736852863855,0.210702815907493,1.55854510723409,-3.41692644163182,0.126434520431891,0.00139515971711597,0.387111158858569,0.00848862237522365,FALSE,TRUE,TRUE,TRUE
"84","PWY-5519",0.119652584273963,-1.29985778618618,0.102729659878112,0.342890509684213,1.16473260415668,-3.79088294798036,0.260211995875701,0.00145944994004459,0.524430594130464,0.00867450515379641,FALSE,TRUE,TRUE,FALSE
"85","PWY-722",0.108179981465374,-0.682442213427467,0.117955119039691,0.195372666780702,0.917128331064399,-3.4930280917621,0.366155784483725,0.00146006522390633,0.61431452214047,0.00867450515379641,FALSE,TRUE,TRUE,FALSE
"86","THRESYN-PWY",0.260334863345981,-0.758764976932442,0.174098016250935,0.223835295234017,1.49533503570052,-3.38983615671141,0.142130621380237,0.0015082343326632,0.391013544792506,0.00885649230226646,FALSE,TRUE,TRUE,TRUE
"87","PWY-3941",-0.261344395400699,-0.921994725822459,0.100623022823657,0.221001520904454,-2.59726241636277,-4.17189312566346,0.0248148305824507,0.00155772926458038,0.18521086389911,0.00893924180242149,FALSE,TRUE,TRUE,FALSE
"88","SER-GLYSYN-PWY",0.254533010556523,-0.74135941856407,0.171864273514996,0.219373802823813,1.48101176207697,-3.37943459529433,0.145894401275644,0.00155392947986676,0.391013544792506,0.00893924180242149,FALSE,TRUE,TRUE,TRUE
"89","PWY-8085",0.111604070919886,-0.688010709615113,0.119103618158512,0.197347068281031,0.937033422203474,-3.48629810216058,0.356753929260136,0.00163362669520653,0.609767922550581,0.00926945484358764,FALSE,TRUE,TRUE,FALSE
"90","PWY-5973",0.237595955395256,-0.690548253080268,0.156986749167768,0.209202115273981,1.51347777219938,-3.30086649542664,0.137474461161854,0.00194423513016888,0.390260256979132,0.0109093193415031,FALSE,TRUE,TRUE,TRUE
"91","PWY-7332",0.189981290849825,-0.813881619794512,0.121600710057267,0.247025492290475,1.56233701892329,-3.29472724554871,0.126287674126855,0.00210295226138506,0.387111158858569,0.0116702295824116,FALSE,TRUE,TRUE,FALSE
"92","PWY-5675",-0.256131562301003,-1.77224061367866,0.0734941429975379,0.186884905374423,-3.48506087498134,-9.48305915947566,0.03990895659768,0.00248603598437894,0.272351663267952,0.0136461757838192,FALSE,TRUE,TRUE,FALSE
"93","PWY-7090",0.238327584569943,-0.794637710516084,0.117598811892243,0.248852961108491,2.02661558169759,-3.19320174843992,0.0490820006763952,0.00266676064151128,0.317774491558713,0.0144807970318623,FALSE,TRUE,TRUE,FALSE
"94","PWY-6148",-0.443568169782426,-0.993709366443148,0.0684260090059784,0.182421931297961,-6.48244982026748,-5.4473130471361,0.00130255692583872,0.00283210999230142,0.0239962676095798,0.0152150590011938,TRUE,TRUE,FALSE,FALSE
"95","PWY-3001",0.20851596169311,-0.603308271973831,0.137061540504392,0.191016950703236,1.52133093591217,-3.15840175310478,0.13549714390153,0.00290025807505191,0.390260256979132,0.0154171613463286,FALSE,TRUE,TRUE,TRUE
"96","PWY-7902",0.206501337419175,-0.827129398422819,0.139090532370016,0.260350228219402,1.48465415942064,-3.1769874145291,0.146339722704522,0.0030502739872408,0.391013544792506,0.0160457121203813,FALSE,TRUE,TRUE,FALSE
"97","CITRULBIO-PWY",0.245146729490554,-0.71320057536616,0.169295806204348,0.232059507096272,1.44803781609718,-3.07335210821716,0.154859145611018,0.00366726834170226,0.391783469037092,0.0190924795109241,FALSE,TRUE,TRUE,TRUE
"98","PWY-5497",0.227498359133334,-0.660255464294499,0.107309548621097,0.216390913975484,2.12001971918282,-3.05121620942598,0.0398144163269118,0.00389618225231773,0.272351663267952,0.0200772656879638,FALSE,TRUE,FALSE,TRUE
"99","GLYCOLYSIS-E-D",0.179708694441244,-0.516886470218232,0.116515547607586,0.16987691383072,1.54235806406272,-3.04271168201998,0.130314647536548,0.00398764992945411,0.387111158858569,0.0203410425694376,FALSE,TRUE,FALSE,TRUE
"100","TRNA-CHARGING-PWY",0.182085491352207,-0.524016860951117,0.106557048385008,0.17257886081163,1.70880757408277,-3.03639077513138,0.0946962317420524,0.00405693533269657,0.387111158858569,0.0204875234301177,FALSE,TRUE,FALSE,TRUE
"101","PWY-7209",-0.255380268422077,-0.923169727033023,0.0729799691319029,0.187505285329135,-3.49932003890694,-4.92343309369946,0.0172970085923503,0.00438444751331627,0.153245427002402,0.0219222375665813,FALSE,TRUE,TRUE,FALSE
"102","PWY-7574",-0.325938502050292,-0.781549970349007,0.0951363891190497,0.217300725064009,-3.42601295958822,-3.59662845174028,0.00648169662965739,0.00487512516761399,0.0711577564777605,0.0241366491141673,FALSE,TRUE,TRUE,FALSE
"103","PWY-6160",-0.272126006950305,-0.898565799647208,0.19652272020078,0.273453259381086,-1.38470506958322,-3.28599410985613,0.189448581119307,0.00590471653357002,0.438705617063704,0.0289503092179889,FALSE,TRUE,TRUE,FALSE
"104","PWY-6165",-0.276083126245425,-0.886694441761846,0.19457404354308,0.271905041374431,-1.41891036038576,-3.26104450759635,0.179453996374602,0.00619513484163482,0.430292570376812,0.0300821451444768,FALSE,TRUE,TRUE,FALSE
"105","PWY-6313",-0.307415358139053,0.806208254763637,0.203501175894523,0.280987853123419,-1.51063185157411,2.86919254979156,0.138369997355864,0.00641498815624573,0.390260256979132,0.0305997167314566,FALSE,TRUE,TRUE,TRUE
"106","PWY-6672",-0.461927916369827,0.969328367446446,0.170805905418964,0.336534658245296,-2.70440249262332,2.88032255726813,0.0100890951924557,0.00642291083868197,0.0943517235590766,0.0305997167314566,FALSE,TRUE,TRUE,TRUE
"107","GLUCONEO-PWY",0.165747961016279,-0.475004269943336,0.103199731099328,0.166064686303851,1.60608907843712,-2.86035689173684,0.115574167444461,0.00650624123107745,0.387111158858569,0.030707026370973,FALSE,TRUE,FALSE,TRUE
"108","P164-PWY",0.138751629913728,-0.502548243524522,0.0917810291120967,0.17619004642716,1.51176807730347,-2.85230779896686,0.138081308232707,0.00670646523713407,0.390260256979132,0.0313589346736362,FALSE,TRUE,TRUE,FALSE
"109","RUMP-PWY",-0.369820632604379,1.13170151091864,0.198337354750534,0.397889136906115,-1.86460403825359,2.84426340391814,0.0690717909725689,0.00678838436920256,0.387111158858569,0.0314507716187825,FALSE,TRUE,TRUE,TRUE
"110","PWY-1861",-0.363080675879302,1.11148164074341,0.197500507307347,0.391397474516378,-1.8383784468679,2.83977724209076,0.0729204669782415,0.00686903819796323,0.387111158858569,0.0315351299088312,FALSE,TRUE,TRUE,TRUE
"111","COLANSYN-PWY",0.20249262074552,-0.585238249131061,0.100963877005214,0.208368700472331,2.0055947409296,-2.80866679018701,0.0512181925625259,0.00745333249477199,0.323314840550944,0.0339093054942329,FALSE,TRUE,FALSE,TRUE
"112","PWY-5328",-0.0393254398467682,-0.822568908902769,0.0847204140522931,0.279518283409524,-0.464179032723976,-2.94280896000502,0.64779386236298,0.00835331484589942,0.807412397475333,0.0376644999748143,FALSE,TRUE,TRUE,TRUE
"113","PWY-7431",-0.388444838961371,0.796145253843361,0.204945848514153,0.287490508678639,-1.89535353742258,2.76929230638811,0.0652881262620738,0.008475260632042,0.387111158858569,0.0378761647715151,FALSE,TRUE,TRUE,TRUE
"114","ARGSYN-PWY",-0.1404309025943,0.443532320888399,0.0962899172742568,0.164828325559557,-1.45841752251504,2.69087439542143,0.151991600847718,0.0101087467810338,0.391783469037092,0.044779974775632,FALSE,TRUE,TRUE,TRUE
"115","PWY-7323",0.186385400490404,-0.536916588365707,0.102279425373714,0.202185185885228,1.82231567892935,-2.65556838902377,0.0753662766975414,0.0110603587628597,0.387111158858569,0.0481506997865874,FALSE,TRUE,FALSE,TRUE
"116","PWY-7456",0.252701347620988,-0.836800748799149,0.143639927938493,0.314380114021025,1.75926952378586,-2.66174834691735,0.0858151699555848,0.0109674680883605,0.387111158858569,0.0481506997865874,FALSE,TRUE,TRUE,FALSE
